time,Time,Referencevalues 
2022-11-02T18:47:03+05:30,18:47:03,770
2022-11-02T18:47:54+05:30,18:47:54,780
2022-11-02T18:48:45+05:30,18:48:45,806
2022-11-02T18:49:36+05:30,18:49:36,810
2022-11-02T18:50:26+05:30,18:50:26,800
2022-11-02T18:51:17+05:30,18:51:17,784
2022-11-02T18:52:08+05:30,18:52:08,786
2022-11-02T18:52:59+05:30,18:52:59,786
2022-11-02T18:53:50+05:30,18:53:50,794
2022-11-02T18:54:41+05:30,18:54:41,790
2022-11-02T18:55:32+05:30,18:55:32,792
2022-11-02T18:56:23+05:30,18:56:23,786
2022-11-02T18:57:14+05:30,18:57:14,790
2022-11-02T18:58:05+05:30,18:58:05,800
2022-11-02T18:58:55+05:30,18:58:55,792
2022-11-02T18:59:46+05:30,18:59:46,774
2022-11-02T19:00:40+05:30,19:00:40,784
2022-11-02T19:01:30+05:30,19:01:30,780
2022-11-02T19:02:21+05:30,19:02:21,782
2022-11-02T19:03:12+05:30,19:03:12,792
2022-11-02T19:04:04+05:30,19:04:04,794
2022-11-02T19:04:55+05:30,19:04:55,792
2022-11-02T19:05:46+05:30,19:05:46,780
2022-11-02T19:06:36+05:30,19:06:36,768
2022-11-02T19:07:27+05:30,19:07:27,774
2022-11-02T19:08:18+05:30,19:08:18,772
2022-11-02T19:09:10+05:30,19:09:10,774
2022-11-02T19:10:01+05:30,19:10:01,780
2022-11-02T19:10:53+05:30,19:10:53,792
2022-11-02T19:11:44+05:30,19:11:44,792
2022-11-02T19:12:36+05:30,19:12:36,792
2022-11-02T19:13:27+05:30,19:13:27,794
2022-11-02T19:14:17+05:30,19:14:17,790
2022-11-02T19:15:08+05:30,19:15:08,790
2022-11-02T19:15:59+05:30,19:15:59,796
2022-11-02T19:16:50+05:30,19:16:50,780
2022-11-02T19:17:41+05:30,19:17:41,798
2022-11-02T19:18:33+05:30,19:18:33,802
2022-11-02T19:19:24+05:30,19:19:24,796
2022-11-02T19:20:15+05:30,19:20:15,802
2022-11-02T19:21:06+05:30,19:21:06,806
2022-11-02T19:21:57+05:30,19:21:57,790
2022-11-02T19:22:49+05:30,19:22:49,790
2022-11-02T19:23:39+05:30,19:23:39,786
2022-11-02T19:24:30+05:30,19:24:30,794
2022-11-02T19:25:21+05:30,19:25:21,784
2022-11-02T19:26:11+05:30,19:26:11,760
2022-11-02T19:27:02+05:30,19:27:02,768
2022-11-02T19:27:53+05:30,19:27:53,774
2022-11-02T19:28:44+05:30,19:28:44,776
2022-11-02T19:29:36+05:30,19:29:36,754
2022-11-02T19:30:26+05:30,19:30:26,766
2022-11-02T19:31:18+05:30,19:31:18,782
2022-11-02T19:32:11+05:30,19:32:11,776
2022-11-02T19:33:02+05:30,19:33:02,768
2022-11-02T19:33:53+05:30,19:33:53,772
2022-11-02T19:34:43+05:30,19:34:43,788
2022-11-02T19:35:35+05:30,19:35:35,800
2022-11-02T19:36:26+05:30,19:36:26,778
2022-11-02T19:37:17+05:30,19:37:17,792
2022-11-02T19:38:08+05:30,19:38:08,806
2022-11-02T19:38:58+05:30,19:38:58,802
2022-11-02T19:39:49+05:30,19:39:49,784
2022-11-02T19:40:40+05:30,19:40:40,796
2022-11-02T19:41:31+05:30,19:41:31,804
2022-11-02T19:42:21+05:30,19:42:21,804
2022-11-02T19:43:12+05:30,19:43:12,798
2022-11-02T19:44:04+05:30,19:44:04,794
2022-11-02T19:44:55+05:30,19:44:55,794
2022-11-02T19:45:46+05:30,19:45:46,790
2022-11-02T19:46:36+05:30,19:46:36,780
2022-11-02T19:47:27+05:30,19:47:27,782
2022-11-02T19:48:19+05:30,19:48:19,772
2022-11-02T19:49:10+05:30,19:49:10,768
2022-11-02T19:50:01+05:30,19:50:01,766
2022-11-02T19:50:51+05:30,19:50:51,778
2022-11-02T19:51:42+05:30,19:51:42,788
2022-11-02T19:52:33+05:30,19:52:33,786
2022-11-02T19:53:25+05:30,19:53:25,792
2022-11-02T19:54:16+05:30,19:54:16,794
2022-11-02T19:55:06+05:30,19:55:06,784
2022-11-02T19:55:57+05:30,19:55:57,788
2022-11-02T19:56:48+05:30,19:56:48,776
2022-11-02T19:57:39+05:30,19:57:39,790
2022-11-02T19:58:30+05:30,19:58:30,786
2022-11-02T19:59:20+05:30,19:59:20,774
2022-11-02T20:00:11+05:30,20:00:11,786
2022-11-02T20:01:02+05:30,20:01:02,798
2022-11-02T20:01:53+05:30,20:01:53,788
2022-11-02T20:02:45+05:30,20:02:45,774
2022-11-02T20:03:36+05:30,20:03:36,796
2022-11-02T20:04:27+05:30,20:04:27,806
2022-11-02T20:05:19+05:30,20:05:19,776
2022-11-02T20:06:11+05:30,20:06:11,776
2022-11-02T20:07:02+05:30,20:07:02,788
2022-11-02T20:07:52+05:30,20:07:52,804
2022-11-02T20:08:43+05:30,20:08:43,800
2022-11-02T20:09:34+05:30,20:09:34,800
2022-11-02T20:10:25+05:30,20:10:25,798
2022-11-02T20:11:15+05:30,20:11:15,788
2022-11-02T20:12:06+05:30,20:12:06,774
2022-11-02T20:12:57+05:30,20:12:57,782
2022-11-02T20:13:48+05:30,20:13:48,788
2022-11-02T20:14:39+05:30,20:14:39,812
2022-11-02T20:15:29+05:30,20:15:29,804
2022-11-02T20:16:20+05:30,20:16:20,798
2022-11-02T20:17:11+05:30,20:17:11,798
2022-11-02T20:18:04+05:30,20:18:04,798
2022-11-02T20:18:55+05:30,20:18:55,802
2022-11-02T20:19:45+05:30,20:19:45,786
2022-11-02T20:20:36+05:30,20:20:36,786
2022-11-02T20:21:27+05:30,20:21:27,780
2022-11-02T20:22:18+05:30,20:22:18,782
2022-11-02T20:23:12+05:30,20:23:12,774
2022-11-02T20:24:03+05:30,20:24:03,794
2022-11-02T20:24:54+05:30,20:24:54,798
2022-11-02T20:25:45+05:30,20:25:45,790
2022-11-02T20:26:36+05:30,20:26:36,774
2022-11-02T20:27:26+05:30,20:27:26,766
2022-11-02T20:28:17+05:30,20:28:17,760
2022-11-02T20:29:08+05:30,20:29:08,774
2022-11-02T20:29:59+05:30,20:29:59,782
2022-11-02T20:30:50+05:30,20:30:50,764
2022-11-02T20:31:41+05:30,20:31:41,760
2022-11-02T20:32:35+05:30,20:32:35,770
2022-11-02T20:33:27+05:30,20:33:27,788
2022-11-02T20:34:18+05:30,20:34:18,778
2022-11-02T20:35:09+05:30,20:35:09,780
2022-11-02T20:36:00+05:30,20:36:00,782
2022-11-02T20:36:50+05:30,20:36:50,764
2022-11-02T20:37:41+05:30,20:37:41,794
2022-11-02T20:38:32+05:30,20:38:32,806
2022-11-02T20:39:23+05:30,20:39:23,790
2022-11-02T20:40:13+05:30,20:40:13,776
2022-11-02T20:41:04+05:30,20:41:04,784
2022-11-02T20:41:55+05:30,20:41:55,766
2022-11-02T20:42:46+05:30,20:42:46,828
2022-11-02T20:43:38+05:30,20:43:38,902
2022-11-02T20:44:28+05:30,20:44:28,882
2022-11-02T20:45:19+05:30,20:45:19,856
2022-11-02T20:46:10+05:30,20:46:10,852
2022-11-02T20:47:01+05:30,20:47:01,850
2022-11-02T20:47:52+05:30,20:47:52,842
